emprestimo_id,livro_id,cliente_id,data_emprestimo,data_devolucao,status
1,64,153,2020-08-15,2020-09-08,finalizado
2,163,84,2022-09-26,2022-10-23,finalizado
3,119,145,2021-02-07,2021-02-25,finalizado
4,131,98,2023-08-29,2023-08-31,atrasado
5,124,113,2020-10-26,2020-11-16,atrasado
6,124,14,2021-08-13,2021-08-20,finalizado
7,48,134,2020-07-15,2020-08-12,atrasado
8,124,156,2020-09-15,,ativo
9,196,292,2022-03-29,2022-04-24,finalizado
10,191,128,2023-07-25,2023-07-26,atrasado
11,41,32,2023-09-06,,ativo
12,3,135,2021-07-16,2021-08-02,finalizado
13,78,73,2023-03-02,2023-03-13,atrasado
14,36,229,2020-10-13,2020-10-19,atrasado
15,196,95,2023-12-11,,ativo
16,50,10,2021-10-01,2021-10-14,finalizado
17,64,169,2021-11-11,2021-12-08,finalizado
18,74,295,2021-09-04,,ativo
19,199,127,2023-05-13,2023-06-03,finalizado
20,50,300,2023-07-05,,ativo
21,28,144,2023-03-25,2023-04-09,atrasado
22,66,250,2022-01-22,,ativo
23,15,110,2022-02-28,2022-03-23,atrasado
24,131,293,2023-01-24,,ativo
25,102,56,2023-11-04,2023-11-24,atrasado
26,22,188,2023-12-24,2024-01-16,finalizado
27,192,238,2023-05-19,2023-05-26,finalizado
28,156,86,2023-09-14,,ativo
29,79,95,2023-07-16,2023-08-11,finalizado
30,170,245,2022-11-16,2022-11-19,atrasado
31,193,38,2020-11-14,2020-11-21,atrasado
32,80,246,2023-08-14,2023-08-24,finalizado
33,123,99,2023-07-16,2023-08-13,finalizado
34,21,1,2020-12-19,2020-12-27,atrasado
35,155,243,2023-08-05,,ativo
36,16,279,2020-02-08,2020-03-08,atrasado
37,170,52,2021-06-02,,ativo
38,99,90,2020-08-16,2020-08-29,finalizado
39,13,172,2021-02-28,,ativo
40,140,143,2021-06-07,2021-06-23,finalizado
41,181,22,2022-09-09,2022-10-01,finalizado
42,19,19,2023-10-03,2023-10-20,finalizado
43,27,26,2020-09-03,,ativo
44,79,271,2020-07-30,,ativo
45,7,229,2021-04-03,2021-04-17,finalizado
46,96,114,2021-04-23,2021-05-13,atrasado
47,43,37,2020-09-24,2020-10-18,finalizado
48,130,251,2021-10-04,2021-10-17,finalizado
49,43,69,2020-01-16,,ativo
50,110,82,2022-08-04,2022-08-12,finalizado
51,130,178,2022-09-05,,ativo
52,179,184,2023-02-24,2023-03-16,finalizado
53,4,23,2022-05-12,2022-05-24,atrasado
54,46,87,2023-06-10,,ativo
55,50,232,2022-09-19,2022-09-30,finalizado
56,32,245,2021-10-05,,ativo
57,16,63,2021-04-21,2021-04-24,atrasado
58,44,118,2023-08-20,,ativo
59,46,130,2022-08-27,2022-09-04,finalizado
60,137,97,2023-07-19,2023-07-20,finalizado
61,97,226,2022-12-11,2023-01-02,finalizado
62,15,263,2022-03-29,2022-04-19,finalizado
63,124,47,2020-12-03,2020-12-04,atrasado
64,133,4,2023-05-03,2023-05-31,finalizado
65,78,185,2021-11-15,2021-12-08,atrasado
66,25,157,2020-07-21,2020-08-10,finalizado
67,101,216,2020-04-29,,ativo
68,141,237,2020-07-13,2020-07-29,atrasado
69,200,38,2022-10-09,2022-11-02,atrasado
70,199,162,2021-11-26,,ativo
71,168,152,2023-11-10,,ativo
72,20,13,2020-06-23,2020-07-07,atrasado
73,32,41,2022-10-31,,ativo
74,199,64,2021-08-22,2021-09-15,atrasado
75,124,59,2022-01-19,,ativo
76,133,194,2022-06-10,,ativo
77,112,271,2021-12-23,2021-12-30,finalizado
78,164,66,2022-08-13,,ativo
79,62,161,2023-07-23,2023-07-24,finalizado
80,73,91,2023-01-25,2023-02-07,atrasado
81,117,18,2022-03-20,2022-04-16,finalizado
82,35,293,2022-02-09,,ativo
83,175,133,2022-11-24,2022-12-02,atrasado
84,35,284,2020-05-13,2020-06-12,atrasado
